Date Time,min,max,mean,id
2022-02-21,571.893,572.372,572.22327,9063063
2022-02-01,2.156,9.012,5.282679,8536110
2022-02-06,2.728,7.565,5.0736127,8536110
2022-02-11,3.369,7.502,5.2496457,8536110
2022-02-16,2.057,7.678,4.6515164,8536110
2022-02-21,2.093,7.11,4.587475,8536110
2022-02-01,15.966,25.102,20.483345,8539094
2022-02-06,16.597,24.768,20.641312,8539094
2022-02-11,17.014,24.656,20.864954,8539094
2022-02-16,16.304,24.668,20.517942,8539094
2022-02-21,16.743,24.458,20.59902,8539094
2022-02-01,21.184,28.212,24.787691,8540433
2022-02-06,21.096,27.585,24.486753,8540433
2022-02-11,21.991,27.687,24.806183,8540433
2022-02-16,21.352,27.723,24.65969,8540433
2022-02-21,21.47,27.369,24.506205,8540433
2022-02-01,3.153,10.955,7.16445,8545240
2022-02-06,3.348,10.482,6.9933877,8545240
2022-02-11,4.057,10.55,7.3246417,8545240
2022-02-16,3.398,10.446,7.080283,8545240
2022-02-21,3.644,10.228,7.0349126,8545240
2022-02-01,18.865,26.88,22.946537,8546252
2022-02-06,19.124,26.529,22.832563,8546252
2022-02-11,19.803,26.529,23.15013,8546252
2022-02-16,19.147,26.388,22.895224,8546252
2022-02-21,19.39,26.266,22.869362,8546252
2022-02-01,13.451,23.143,18.339325,8548989
2022-02-06,14.299,22.817,18.611658,8548989
2022-02-11,14.528,22.709,18.724716,8548989
2022-02-16,13.8,22.7,18.371405,8548989
2022-02-21,14.187,22.574,18.469212,8548989
2022-02-01,21.966,28.784,25.368855,8551762
2022-02-06,21.63,28.009,24.92785,8551762
2022-02-11,22.695,28.101,25.339542,8551762
2022-02-16,22.248,28.129,25.114021,8551762
2022-02-21,22.275,27.797,25.053429,8551762
2022-02-01,18.612,25.433,21.7735,8555889
2022-02-06,19.032,24.009,21.550016,8555889
2022-02-11,19.872,23.999,21.742813,8555889
2022-02-16,18.642,24.147,21.17573,8555889
2022-02-21,18.632,23.579,21.112858,8555889
2022-02-01,2.411,8.415,5.246054,8557380
2022-02-06,3.054,7.014,5.008946,8557380
2022-02-11,3.602,6.978,5.110958,8557380
2022-02-16,2.382,7.11,4.544171,8557380
2022-02-21,2.29,6.486,4.4201126,8557380
2022-02-01,5.564,7.467,6.6070585,8770613
2022-02-06,5.436,6.535,6.11405,8770613
2022-02-11,4.705,6.339,5.6167,8770613
2022-02-16,5.84,7.205,6.5542,8770613
2022-02-21,5.82,6.991,6.511171,8770613
2022-02-01,5.932,8.287,7.1635666,8770777
2022-02-06,5.686,6.982,6.591706,8770777
2022-02-11,4.951,6.775,6.0358624,8770777
2022-02-16,6.312,7.753,7.0483036,8770777
2022-02-21,6.257,7.664,6.991821,8770777
2022-02-01,5.18,6.772,5.966202,8771013
2022-02-06,4.898,5.833,5.4754877,8771013
2022-02-11,4.229,5.545,4.93945,8771013
2022-02-16,5.151,6.407,5.7974415,8771013
2022-02-21,5.276,6.188,5.7202916,8771013
2022-02-01,9.331,11.995,10.932217,8771341
2022-02-06,10.194,10.965,10.528088,8771341
2022-02-11,8.885,10.774,9.984442,8771341
2022-02-16,9.485,11.394,10.6677,8771341
2022-02-21,10.007,11.299,10.61873,8771341
2022-02-01,4.898,7.139,6.2397,8771450
2022-02-06,5.541,6.161,5.811146,8771450
2022-02-11,4.304,5.961,5.2423124,8771450
2022-02-16,5.072,6.654,6.043454,8771450
2022-02-21,5.495,6.585,5.9433956,8771450
2022-02-01,12.543,22.644,18.32917,9418767
2022-02-06,15.213,21.368,18.281862,9418767
2022-02-11,15.397,21.437,18.790112,9418767
2022-02-16,13.97,21.46,18.20655,9418767
2022-02-21,15.459,21.394,18.187979,9418767
2022-02-01,8.32,15.207,11.779992,8720218
2022-02-06,9.921,14.436,12.396325,8720218
2022-02-11,9.82,13.589,11.6402,8720218
2022-02-16,9.291,14.491,11.757842,8720218
2022-02-21,9.213,14.301,11.844733,8720218
2022-02-01,3.363,8.527,6.007058,8720219
2022-02-06,3.724,7.89,6.345629,8720219
2022-02-11,4.229,7.398,5.7612333,8720219
2022-02-16,3.842,7.979,5.895946,8720219
2022-02-21,3.845,7.785,6.0070376,8720219
2022-02-01,-1.183,1.284,0.29300615,8720226
2022-02-01,-0.315,0.928,0.31759167,8720357
2022-02-06,-0.531,0.899,0.2497375,8720357
2022-02-11,-0.338,0.531,0.0515625,8720357
2022-02-16,-0.41,0.725,0.14352916,8720357
2022-02-21,-0.364,0.702,0.20480834,8720357
2022-02-01,1.007,9.856,5.45195,8720030
2022-02-06,2.648,8.819,6.1647544,8720030
2022-02-11,2.697,7.533,5.0038624,8720030
2022-02-16,2.047,8.786,5.299225,8720030
2022-02-21,1.903,8.51,5.4344625,8720030
2022-02-01,27.273,28.746,28.02735,8767816
2022-02-06,26.768,27.881,27.50159,8767816
2022-02-11,26.277,27.935,27.165558,8767816
2022-02-16,27.246,28.521,27.896292,8767816
2022-02-21,27.187,28.341,27.880121,8767816
2022-02-01,23.881,25.322,24.60152,8767961
2022-02-06,23.415,24.495,24.125767,8767961
2022-02-11,22.825,24.472,23.743784,8767961
2022-02-16,23.825,25.095,24.480724,8767961
2022-02-21,23.819,24.892,24.446438,8767961
2022-02-01,26.834,29.754,28.658026,8768094
2022-02-06,27.894,28.619,28.27082,8768094
2022-02-11,26.67,28.448,27.803572,8768094
2022-02-16,27.32,29.304,28.469437,8768094
2022-02-21,27.717,29.049,28.412807,8768094
2022-02-01,2.293,11.132,6.9217916,9410660
2022-02-06,4.364,8.533,6.5067873,9410660
2022-02-11,3.96,8.957,6.725742,9410660
2022-02-16,3.278,10.148,6.938521,9410660
2022-02-21,4.505,8.944,6.658046,9410660
2022-02-01,0.732,12.051,6.728608,9439040
2022-02-06,2.352,10.285,6.1894293,9439040
2022-02-11,2.06,9.295,6.14755,9439040
2022-02-16,1.483,10.761,6.472629,9439040
2022-02-21,2.782,10.853,6.4727125,9439040
2022-02-01,1.03,9.334,4.9485793,9439099
2022-02-06,0.945,7.454,4.0312166,9439099
2022-02-11,0.607,6.322,3.5383708,9439099
2022-02-16,0.745,8.025,4.3572664,9439099
2022-02-21,1.319,8.015,4.325071,9439099
2022-02-01,4.068,7.287,5.3369627,9439201
2022-02-06,2.913,5.397,4.1553707,9439201
2022-02-11,1.624,4.17,2.7209709,9439201
2022-02-16,2.946,5.791,4.2156916,9439201
2022-02-21,2.772,5.554,4.133721,9439201
2022-02-01,4.495,7.247,5.465525,9440083
2022-02-06,3.333,5.322,4.262504,9440083
2022-02-11,1.765,3.976,2.6205666,9440083
2022-02-16,3.235,5.666,4.248318,9440083
2022-02-21,2.9,5.453,4.0757375,9440083
2022-02-01,3.835,8.855,5.939571,9440422
2022-02-06,2.9,7.044,4.8246126,9440422
2022-02-11,1.959,5.692,3.6828375,9440422
2022-02-16,2.956,7.503,4.9993873,9440422
2022-02-21,2.982,7.379,4.956146,9440422
2022-02-01,0.236,9.206,4.5544834,9440569
2022-02-06,0.381,7.31,3.71345,9440569
2022-02-11,0.217,6.257,3.38925,9440569
2022-02-16,0.102,7.894,4.062004,9440569
2022-02-21,0.804,7.894,4.0324917,9440569
2022-02-01,49.623,61.388,56.277668,9440581
2022-02-06,52.425,59.787,56.00689,9440581
2022-02-11,52.467,59.055,56.157078,9440581
2022-02-16,51.293,60.243,56.221577,9440581
2022-02-21,52.733,60.148,56.166225,9440581
2022-02-01,5.105,7.156,6.0740747,8760721
2022-02-06,5.446,5.994,5.7401958,8760721
2022-02-11,4.724,6.224,5.4432416,8760721
